CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO
07,103,0028,El Tarral
07,065,0211,Augusto Gómez Villanueva
07,065,1230,Arroyo Jerusalén
07,114,0058,Boca Lacantún
07,116,0017,Quiringuicharo
07,116,0018,Reforma Agraria
07,116,0003,Licenciado Adolfo López Mateos
07,116,0015,Playón la Gloria
07,079,0102,Tankah Pakbal
07,016,0121,Cuauhtémoc
07,016,0299,Cuauhtemoc Quemado
07,016,0300,Estación la Unión
07,031,0272,El Piñal
07,059,0672,Nuevo Ojo de Agua
07,007,0034,San Vicente la Piedra
07,023,0065,La Ventana
07,023,0112,Rasién
07,023,0048,Pozuelos
07,023,0026,Ichintón
07,038,0013,Lázaro Cárdenas (Chilil)
07,038,0114,San José el Porvenir
07,094,0011,Flores Magón
07,110,0012,Laguna del Carmen
07,111,0026,Jechtoch
07,111,0030,Chactoj
07,022,0005,Joltealal
07,039,0048,El Ocotal
07,047,0051,Plan Paredón
07,118,0003,Jotolchén
07,045,0045,Jana 2da. Sección
07,027,0017,Carrillo Puerto
07,037,0137,Tepehuitz
07,102,0003,Silvano Gatica
07,033,0004,Azapac Amatal
07,023,0041,Las Ollas
07,038,0011,Jocosic
07,078,0157,Campo Grande
07,077,0516,Primero de Enero
07,109,0030,Lázaro Cárdenas
07,009,0752,Eben Ezer
07,009,0786,Jardines del Valle
07,094,0170,Tierra Colorada
07,094,0013,Los Llanitos
07,019,0026,Corrala
07,041,0572,Santa Martha
07,077,0094,El Tortuguero 1ra. Sección
07,012,0306,La Libertad
07,055,0005,Los Hules
07,089,0094,Hermosillo
07,057,0005,Nueva Independencia (Ampliación Calera)
07,057,0480,Lubeca
07,057,0575,La Ceiba
07,083,0129,El Sabinal
07,083,0191,Miramar
07,083,0197,Tierra y Libertad
07,083,0210,San Pedro Pedernal
07,007,0052,Benito Juárez
07,075,0045,Zacualpa
07,075,0060,El Chipilinar
07,075,0067,San Antonio el Paraje
07,075,0104,Cruz Morales
07,075,0107,Nuevo Tepeyac
07,094,0016,Nuevo León
07,108,2321,Nueva Esperanza
07,031,0439,Tzajalá
07,116,0013,Nuevo Paraíso
07,052,0206,La Fortuna Gallo Giro
07,052,0312,Santa Margarita Agua Azul
07,052,0335,San Mateo Zapotal
07,073,0007,Manzanillo Pinabeto
08,019,1038,La Puerta de Chihuahua
08,011,0092,Maravillas
08,006,0014,El Porvenir
08,054,0022,Campo Cincuenta y Cinco (La Cordovana)
08,004,0146,Praderas de San Antonio
08,004,0004,San Guillermo (Santa Elena)
08,062,0350,Ampliación Colonia Altamirano
08,012,0025,Ranchería Guahuachérare
08,020,0450,Guasachi
