CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,NOMGEO
30,010,0015,0050,Lerdo de Tejada
30,020,0002,0019,Acultzinapa (San Miguelito)
30,004,0035,0091,Paso de la Milpa
30,004,0034,0072,Paso del Cedro
30,210,0212,0136,Manantiales
20,407,0064,0034,Dos Arroyos (La Paz)
30,210,0108,0193,Paso del Moral
30,211,0026,0218,El Faisán
30,211,0121,0190,Fidelidad
30,079,0011,004A,Caltzontepec
30,003,0027,0018,San Ángel
30,073,0090,0120,Nacaxtlito
20,205,0066,0043,José López Portillo
30,212,0061,0094,Nuevo Ideal de Arriba
30,212,0020,008A,Ejido Sergio Vera Cervantes
30,005,0004,0012,Atzizintla
30,012,0019,0017,Los Pinos (Buena Esperanza)
30,009,0018,0064,Cerrillos de Díaz
30,010,0105,0050,Xocotla
30,015,0310,0038,Fraccionamiento los Idolos
30,015,0107,0057,Arroyo Grande de Arriba (Colonia Francisco I. Madero)
30,126,0138,0018,Yucatán
30,016,0010,0016,La Posta
30,084,0062,0054,Las Cuatas
30,054,0003,0110,Arroyo del Soldado (Arroyo del Obispo)
30,010,0118,0050,Colonia el Establo
30,061,0745,0261,Malpaso (Malpasito)
30,087,0124,0287,La Haciendita
30,093,0007,0015,El Pueblito (Garbanzal)
30,105,0049,0022,Paso Colorado
30,141,0174,0137,Vista Hermosa II
30,044,0117,0237,Santa Teresita (Segunda Manzana del Barreal)
30,044,0217,0237,Los Lienzos
30,044,0118,0237,La Palma (Tercera Manzana del Barreal)
30,078,0022,0042,Tancuban
30,063,0048,0069,Tamalcuatitla
30,078,0023,0023,Tzicuatitla
30,079,0009,004A,Buenavista
30,032,0076,0147,Barra de Sontecomapan
30,032,0041,0043,Matalcalcinta
30,083,0010,0023,Cacahuatengo
30,083,0055,0019,La Pita
30,083,0037,0023,Llano Enmedio
30,034,0006,0086,Colonia Morelos (El Veinticinco)
30,035,0004,0026,La Ceiba
30,087,0157,0821,Humberto Aguirre Cruz
30,038,0236,0013,Hacienda los Cafetales
30,039,0166,0203,Colonia Veracruz
30,111,0011,0015,Nuevo Teapa
30,206,0050,003A,Democracia y Libertad
30,040,0009,0030,Furberos
30,051,0014,0034,San Marcos
30,051,0007,002A,La Lima
30,080,0024,0036,Matlaquiáhuitl
30,014,0051,0045,Colonia San Francisco
30,045,0185,0145,El Coyol (Kilómetro 11)
30,049,0123,0089,La Tinaja
30,066,0009,0056,El Ermitaño
30,196,0017,0012,Los Mangos
30,053,0048,001A,La Pitahaya (La Luz)
30,054,0043,0040,Arroyo Claro
30,058,0043,0054,Francia Nueva
30,058,0079,0016,Pastoría
30,058,0279,0069,Ejido las Vegas
30,058,0145,0020,Nuevo Tecerca
13,025,0028,0045,La Mesa
30,058,0133,0035,Alaxtitla Morenotlán
30,059,0206,0028,El Manantial [Centro de Población Agrícola y Ganadera]
30,091,0457,0097,Fidel Herrera Beltrán
30,061,0043,0153,Alto Uxpanapa (El Amate)
30,061,0876,0079,Las Piedras
30,061,0007,0134,Cuauhtémoc Pedregal
30,082,0054,0026,El Túnel
30,061,0580,0346,El Azufre
